name,RF_original_length,RF_denoised_length,RF_original_width,RF_original,RF_denoised,RF_difference,RF_bool,cutoff_percent,domains_amount
0,2358,588,30,0.1429,0.1429,0.0,zero,4.010204081632653,2
1,440,319,46,0.4286,0.4286,0.0,zero,1.3793103448275863,1
2,1099,50,18,1.0,1.0,0.0,zero,21.98,1
3,851,216,23,0.7778,0.7778,0.0,zero,3.939814814814815,2
4,879,209,28,0.625,0.875,-0.25,original_lower,4.205741626794258,1
5,225,84,17,0.6667,0.6667,0.0,zero,2.6785714285714284,2
6,902,235,23,0.6667,0.8889,-0.22220000000000006,original_lower,3.8382978723404255,1
7,830,287,17,0.6,0.6,0.0,zero,2.8919860627177703,1
8,1233,363,68,0.4762,0.4762,0.0,zero,3.396694214876033,1
9,548,145,28,0.7,0.7,0.0,zero,3.779310344827586,1
10,323,122,19,0.75,0.75,0.0,zero,2.6475409836065573,1
11,929,352,22,0.7143,0.7143,0.0,zero,2.6392045454545454,1
12,784,506,28,0.375,0.5,-0.125,original_lower,1.5494071146245059,2
13,408,326,81,0.2,0.24,-0.03999999999999998,original_lower,1.2515337423312884,2
14,553,352,30,1.0,0.9091,0.09089999999999998,original_higher,1.5710227272727273,1
15,758,262,34,0.6,0.6,0.0,zero,2.8931297709923665,1
16,217,133,84,0.84,0.8267,0.013299999999999979,original_higher,1.631578947368421,1
17,361,187,38,0.5,0.5,0.0,zero,1.9304812834224598,2
18,661,37,27,1.0,1.0,0.0,zero,17.864864864864863,1
19,806,474,20,0.1429,0.2857,-0.1428,original_lower,1.7004219409282701,1
20,655,300,75,0.3,0.25,0.04999999999999999,original_higher,2.183333333333333,1
21,362,59,15,1.0,0.8,0.19999999999999996,original_higher,6.135593220338983,1
22,174,90,84,0.7733,0.8,-0.026700000000000057,original_lower,1.9333333333333333,1
23,380,237,31,0.9167,0.75,0.16669999999999996,original_higher,1.6033755274261603,1
24,758,490,73,0.3333,0.3333,0.0,zero,1.546938775510204,2
25,1080,666,35,0.1667,0.1667,0.0,zero,1.6216216216216217,4
26,1771,698,30,0.8182,0.8182,0.0,zero,2.537249283667622,1
27,1181,902,32,0.5833,0.5833,0.0,zero,1.3093126385809313,2
28,820,285,15,0.5,1.0,-0.5,original_lower,2.8771929824561404,2
29,528,289,69,0.55,0.6,-0.04999999999999993,original_lower,1.8269896193771626,2
30,1100,494,50,0.2857,0.2857,0.0,zero,2.2267206477732793,2
31,611,407,17,0.75,0.75,0.0,zero,1.5012285012285012,2
32,853,458,21,0.5714,0.7143,-0.14290000000000003,original_lower,1.8624454148471616,2
33,620,154,35,0.7778,0.7778,0.0,zero,4.025974025974026,1
34,632,463,32,0.9,0.9,0.0,zero,1.3650107991360692,1
35,718,371,46,0.8571,0.7857,0.07140000000000002,original_higher,1.935309973045822,1
36,179,20,20,0.6,0.8,-0.20000000000000007,original_lower,8.95,1
37,550,311,19,0.4286,0.5714,-0.14280000000000004,original_lower,1.7684887459807075,2
38,241,129,84,0.7867,0.7867,0.0,zero,1.8682170542635659,2
39,532,299,35,0.25,0.25,0.0,zero,1.7792642140468227,1
40,477,188,67,0.4737,0.6316,-0.15790000000000004,original_lower,2.5372340425531914,1
41,478,203,20,0.25,0.25,0.0,zero,2.354679802955665,2
42,194,56,18,0.8,1.0,-0.19999999999999996,original_lower,3.4642857142857144,1
43,382,39,22,1.0,1.0,0.0,zero,9.794871794871796,1
44,1025,122,25,0.875,0.875,0.0,zero,8.401639344262295,1
45,671,131,16,0.25,0.75,-0.5,original_lower,5.122137404580153,1
46,446,164,84,0.7867,0.7867,0.0,zero,2.7195121951219514,1
47,516,339,39,0.1818,0.1818,0.0,zero,1.5221238938053097,2
48,340,174,76,0.2609,0.2174,0.04350000000000001,original_higher,1.9540229885057472,1
49,972,542,44,0.25,0.1667,0.08330000000000001,original_higher,1.7933579335793357,2
50,761,467,20,0.625,0.625,0.0,zero,1.6295503211991436,1
51,675,216,16,0.2,0.6,-0.39999999999999997,original_lower,3.125,3
52,673,341,75,0.4286,0.381,0.047599999999999976,original_higher,1.9736070381231672,3
53,567,330,73,0.1905,0.1429,0.0476,original_higher,1.7181818181818183,3
54,1060,547,19,0.6,0.2,0.39999999999999997,original_higher,1.9378427787934187,1
55,584,228,23,0.8889,0.8889,0.0,zero,2.56140350877193,1
56,89,39,15,0.4,0.8,-0.4,original_lower,2.282051282051282,1
57,600,382,23,0.8333,0.8333,0.0,zero,1.5706806282722514,2
58,1334,452,19,0.8333,0.8333,0.0,zero,2.9513274336283186,1
59,467,176,19,0.8571,0.8571,0.0,zero,2.653409090909091,1
60,407,265,58,0.3333,0.3333,0.0,zero,1.5358490566037737,1
61,321,68,15,1.0,1.0,0.0,zero,4.720588235294118,1
62,537,270,27,0.8571,0.8571,0.0,zero,1.988888888888889,1
63,209,47,15,0.8571,1.0,-0.14290000000000003,original_lower,4.446808510638298,1
64,210,100,69,0.5,0.45,0.04999999999999999,original_higher,2.1,1
65,758,288,21,0.8571,0.8571,0.0,zero,2.6319444444444446,1
66,866,142,16,0.3333,0.6667,-0.3334,original_lower,6.098591549295775,2
67,452,218,50,0.7857,0.7143,0.07139999999999991,original_higher,2.073394495412844,1
68,2291,637,25,0.5,0.6667,-0.16669999999999996,original_lower,3.596546310832025,4
69,902,454,22,1.0,1.0,0.0,zero,1.986784140969163,1
70,962,569,28,0.5455,0.5455,0.0,zero,1.6906854130052724,2
71,471,225,37,0.0769,0.0769,0.0,zero,2.0933333333333333,1
72,488,253,22,0.2,0.2,0.0,zero,1.9288537549407114,2
73,530,200,34,0.6,0.5,0.09999999999999998,original_higher,2.65,2
74,572,290,23,0.9,0.9,0.0,zero,1.9724137931034482,1
75,1037,166,31,0.875,1.0,-0.125,original_lower,6.246987951807229,2
76,1208,378,38,0.9231,0.9231,0.0,zero,3.195767195767196,1
77,923,240,20,0.6,0.7,-0.09999999999999998,original_lower,3.845833333333333,1
78,191,98,20,1.0,0.875,0.125,original_higher,1.9489795918367347,1
79,1550,714,26,0.6667,0.6667,0.0,zero,2.1708683473389354,1
80,932,755,75,0.7143,0.7143,0.0,zero,1.2344370860927152,1
81,2657,1575,37,0.8333,0.8333,0.0,zero,1.686984126984127,1
82,610,402,35,0.5833,0.5833,0.0,zero,1.5174129353233832,3
83,828,430,17,0.5,0.5,0.0,zero,1.9255813953488372,2
84,751,497,82,0.4583,0.4583,0.0,zero,1.511066398390342,2
85,283,135,21,0.8333,0.6667,0.16660000000000008,original_higher,2.096296296296296,1
86,713,322,52,0.7368,0.7368,0.0,zero,2.2142857142857144,1
87,1215,857,68,0.4091,0.4091,0.0,zero,1.4177362893815635,2
88,314,202,24,0.2857,0.2857,0.0,zero,1.5544554455445545,1
89,521,346,18,0.6667,0.6667,0.0,zero,1.5057803468208093,1
90,659,461,77,0.1364,0.1818,-0.045399999999999996,original_lower,1.4295010845986984,2
91,412,137,84,0.7733,0.84,-0.06669999999999998,original_lower,3.0072992700729926,1
92,764,112,16,0.6,0.8,-0.20000000000000007,original_lower,6.821428571428571,1
93,1381,375,25,0.125,0.125,0.0,zero,3.6826666666666665,3
94,747,451,39,0.9091,0.9091,0.0,zero,1.6563192904656319,1
95,188,100,72,0.4545,0.5,-0.045499999999999985,original_lower,1.88,1
96,1143,582,49,0.4375,0.4375,0.0,zero,1.9639175257731958,1
97,323,129,20,0.875,0.875,0.0,zero,2.503875968992248,2
98,328,115,23,1.0,1.0,0.0,zero,2.8521739130434782,2
99,604,246,45,0.5385,0.5385,0.0,zero,2.4552845528455283,1
100,818,398,38,0.4167,0.4167,0.0,zero,2.0552763819095476,3
101,744,281,41,0.5,0.5,0.0,zero,2.6476868327402134,1
102,560,212,30,0.9,0.9,0.0,zero,2.641509433962264,2
103,488,190,18,0.4286,0.4286,0.0,zero,2.568421052631579,1
104,1512,413,20,0.7143,0.7143,0.0,zero,3.6610169491525424,1
105,304,139,17,0.625,0.75,-0.125,original_lower,2.1870503597122304,1
106,913,377,29,0.4,0.4,0.0,zero,2.4217506631299734,3
107,650,311,38,0.8667,0.8667,0.0,zero,2.090032154340836,2
108,1041,83,61,0.5294,0.7059,-0.1765,original_lower,12.542168674698795,1
109,455,148,27,0.5,0.5,0.0,zero,3.074324324324324,1
110,995,431,77,0.2381,0.2381,0.0,zero,2.308584686774942,2
111,531,254,21,0.5714,0.5714,0.0,zero,2.090551181102362,1
112,426,184,20,1.0,1.0,0.0,zero,2.3152173913043477,1
113,476,213,32,0.8889,0.8889,0.0,zero,2.2347417840375585,2
114,561,170,49,0.7059,0.8235,-0.11760000000000004,original_lower,3.3,1
115,615,308,45,0.5294,0.5294,0.0,zero,1.9967532467532467,1
116,771,504,38,0.9167,1.0,-0.08330000000000004,original_lower,1.5297619047619047,2
117,630,405,27,0.8182,0.8182,0.0,zero,1.5555555555555556,2
118,254,142,30,0.5833,0.5833,0.0,zero,1.7887323943661972,1
119,325,140,30,0.4,0.4,0.0,zero,2.3214285714285716,1
120,711,229,35,0.125,0.625,-0.5,original_lower,3.1048034934497815,1
121,243,132,21,0.75,0.75,0.0,zero,1.8409090909090908,2
122,645,193,72,0.4762,0.7143,-0.23810000000000003,original_lower,3.3419689119170983,1
123,706,211,17,0.6667,0.5556,0.11109999999999998,original_higher,3.345971563981043,1
124,219,40,32,0.7,0.9,-0.20000000000000007,original_lower,5.475,2
125,488,384,76,0.2,0.2,0.0,zero,1.2708333333333333,2
126,588,245,18,1.0,1.0,0.0,zero,2.4,1
127,1531,1266,50,0.5294,0.5294,0.0,zero,1.2093206951026856,5
128,390,172,61,0.7059,0.5882,0.11770000000000003,original_higher,2.2674418604651163,2
129,724,341,77,0.375,0.4167,-0.041700000000000015,original_lower,2.12316715542522,1
130,647,366,37,0.7143,0.7143,0.0,zero,1.7677595628415301,3
131,771,255,15,1.0,1.0,0.0,zero,3.023529411764706,1
132,653,284,80,0.375,0.25,0.125,original_higher,2.2992957746478875,1
133,229,52,70,0.4737,0.4211,0.052600000000000036,original_higher,4.403846153846154,1
134,480,189,28,0.75,0.75,0.0,zero,2.5396825396825395,1
135,447,238,27,0.625,0.625,0.0,zero,1.8781512605042017,1
136,766,502,28,1.0,1.0,0.0,zero,1.5258964143426295,2
137,1040,418,23,0.5714,0.5714,0.0,zero,2.488038277511962,2
138,1318,846,42,0.4286,0.3571,0.07150000000000001,original_higher,1.557919621749409,3
139,392,196,18,0.2,0.4,-0.2,original_lower,2.0,2
140,521,324,20,1.0,1.0,0.0,zero,1.6080246913580247,2
141,1435,824,21,0.0,0.1429,-0.1429,original_lower,1.741504854368932,5
142,382,98,23,0.8571,0.8571,0.0,zero,3.8979591836734695,1
143,409,128,26,0.6,0.7,-0.09999999999999998,original_lower,3.1953125,1
144,792,240,44,0.5333,0.6,-0.06669999999999998,original_lower,3.3,1
145,435,101,82,0.28,0.36,-0.07999999999999996,original_lower,4.306930693069307,1
146,584,134,32,0.9091,0.9091,0.0,zero,4.358208955223881,1
