name,RF_original_length,RF_denoised_length,RF_original_width,RF_original,RF_denoised,RF_difference,RF_bool,cutoff_percent,domains_amount
0,429,27,37,0.75,0.9167,-0.16669999999999996,original_lower,15.88888888888889,1
1,449,60,98,0.6875,0.6875,0.0,zero,7.483333333333333,1
2,923,172,15,1.0,1.0,0.0,zero,5.366279069767442,1
3,727,355,94,0.4565,0.3478,0.10870000000000002,original_higher,2.047887323943662,2
4,925,322,30,1.0,1.0,0.0,zero,2.872670807453416,1
5,5137,2232,67,0.5789,0.5526,0.02629999999999999,original_higher,2.3015232974910393,1
6,491,46,90,0.6591,0.7727,-0.11360000000000003,original_lower,10.673913043478262,1
7,3325,932,109,0.4,0.38,0.020000000000000018,original_higher,3.5675965665236054,1
8,765,287,80,0.439,0.439,0.0,zero,2.6655052264808363,2
9,638,297,33,0.75,0.7917,-0.04169999999999996,original_lower,2.1481481481481484,3
10,1335,286,22,0.6154,0.5385,0.07689999999999997,original_higher,4.6678321678321675,1
11,497,196,103,0.6042,0.6458,-0.04160000000000008,original_lower,2.5357142857142856,1
12,1188,459,19,0.9091,0.9091,0.0,zero,2.588235294117647,3
13,1527,359,24,0.8667,0.8667,0.0,zero,4.2534818941504176,2
14,1022,324,108,0.5294,0.4118,0.11759999999999998,original_higher,3.154320987654321,1
15,602,58,101,0.6875,0.7083,-0.02080000000000004,original_lower,10.379310344827585,1
16,2778,754,95,0.5111,0.4444,0.06669999999999998,original_higher,3.684350132625995,1
17,1138,684,17,0.8333,0.8333,0.0,zero,1.6637426900584795,3
18,1811,889,58,0.3939,0.3939,0.0,zero,2.0371203599550056,1
19,890,152,24,0.875,0.8125,0.0625,original_higher,5.855263157894737,1
20,2101,891,46,0.5769,0.5769,0.0,zero,2.3580246913580245,3
21,449,66,22,0.5455,0.5455,0.0,zero,6.803030303030303,1
22,1301,778,34,0.3684,0.3158,0.05259999999999998,original_higher,1.6722365038560412,2
23,618,342,31,0.7895,0.6842,0.10529999999999995,original_higher,1.8070175438596492,1
24,3412,1755,44,0.963,0.963,0.0,zero,1.944159544159544,1
25,816,105,106,0.8077,0.8077,0.0,zero,7.771428571428571,1
26,2068,983,50,0.08,0.04,0.04,original_higher,2.103763987792472,2
27,2342,832,43,0.4615,0.3846,0.07690000000000002,original_higher,2.8149038461538463,2
28,944,281,19,0.7778,0.7778,0.0,zero,3.3594306049822062,1
29,1032,252,15,0.8,0.7,0.10000000000000009,original_higher,4.095238095238095,1
30,2677,1186,44,0.3478,0.2609,0.08689999999999998,original_higher,2.25716694772344,2
31,1938,881,24,0.8235,0.8235,0.0,zero,2.199772985244041,3
32,3316,680,98,0.3542,0.3542,0.0,zero,4.876470588235295,1
33,990,402,51,0.7037,0.6667,0.03700000000000003,original_higher,2.462686567164179,1
34,989,342,104,0.4706,0.4902,-0.019600000000000006,original_lower,2.891812865497076,2
35,1591,289,44,0.6316,0.5789,0.05270000000000008,original_higher,5.505190311418685,2
36,1287,613,51,0.1724,0.2414,-0.069,original_lower,2.099510603588907,3
37,683,296,107,0.3725,0.3333,0.03920000000000001,original_higher,2.3074324324324325,2
38,3114,192,105,0.68,0.74,-0.05999999999999994,original_lower,16.21875,1
39,4161,1280,95,0.4545,0.3864,0.0681,original_higher,3.25078125,1
40,885,184,89,0.4783,0.5435,-0.06519999999999998,original_lower,4.809782608695652,1
41,3427,1277,31,0.7647,0.6471,0.11760000000000004,original_higher,2.68363351605325,2
42,747,48,24,0.875,0.9375,-0.0625,original_lower,15.5625,1
43,1435,725,29,0.75,0.75,0.0,zero,1.9793103448275862,1
44,354,125,110,0.58,0.56,0.019999999999999907,original_higher,2.832,1
45,1532,518,19,0.4286,0.4286,0.0,zero,2.9575289575289574,2
46,876,213,55,0.7778,0.9259,-0.1480999999999999,original_lower,4.112676056338028,1
47,1957,991,103,0.2449,0.2449,0.0,zero,1.9747729566094854,2
48,3017,933,88,0.2927,0.2927,0.0,zero,3.2336548767416935,1
49,779,367,24,0.4167,0.5833,-0.16660000000000003,original_lower,2.122615803814714,1
50,1147,447,16,0.6,0.7,-0.09999999999999998,original_lower,2.5659955257270695,1
51,1572,817,28,0.5625,0.5,0.0625,original_higher,1.9241126070991432,4
52,3854,748,110,0.3469,0.3673,-0.02040000000000003,original_lower,5.152406417112299,1
53,2118,1242,42,0.2,0.24,-0.03999999999999998,original_lower,1.7053140096618358,3
54,4247,1416,82,0.5641,0.4872,0.07690000000000002,original_higher,2.9992937853107344,2
55,2828,435,16,0.8889,0.8889,0.0,zero,6.501149425287356,2
56,1609,501,101,0.1837,0.1633,0.0204,original_higher,3.211576846307385,1
57,2044,1058,54,0.0968,0.0968,0.0,zero,1.9319470699432892,3
58,1861,172,80,0.725,0.775,-0.050000000000000044,original_lower,10.819767441860465,1
59,4439,1675,45,0.9286,0.9286,0.0,zero,2.6501492537313434,1
60,3443,1390,76,0.5,0.5,0.0,zero,2.476978417266187,1
61,2270,482,32,0.7895,0.8421,-0.05259999999999998,original_lower,4.70954356846473,1
62,1394,324,117,0.3636,0.3818,-0.018199999999999994,original_lower,4.302469135802469,2
63,3576,1233,88,0.3333,0.381,-0.04770000000000002,original_lower,2.900243309002433,2
64,1759,755,44,0.6667,0.7037,-0.03700000000000003,original_lower,2.329801324503311,1
65,4392,1150,19,0.9231,0.9231,0.0,zero,3.8191304347826085,3
66,645,238,97,0.6364,0.6364,0.0,zero,2.7100840336134455,1
67,2281,1260,49,0.4138,0.3793,0.034499999999999975,original_higher,1.8103174603174603,7
68,1390,870,62,0.3143,0.2571,0.05720000000000003,original_higher,1.5977011494252873,3
69,1718,543,26,0.875,0.9375,-0.0625,original_lower,3.1639042357274403,1
70,3081,451,91,0.5455,0.5455,0.0,zero,6.831485587583148,1
71,512,77,42,0.6957,0.8261,-0.13039999999999996,original_lower,6.64935064935065,1
72,1099,530,46,0.1818,0.3182,-0.1364,original_lower,2.0735849056603772,3
73,4871,1512,34,0.1,0.25,-0.15,original_lower,3.2215608465608465,3
74,394,138,47,0.6129,0.6774,-0.0645,original_lower,2.8550724637681157,1
75,1861,661,97,0.2391,0.2174,0.021699999999999997,original_higher,2.815431164901664,1
76,973,208,15,1.0,1.0,0.0,zero,4.677884615384615,1
77,1153,424,97,0.4583,0.4583,0.0,zero,2.7193396226415096,1
78,700,288,21,0.5,0.625,-0.125,original_lower,2.4305555555555554,2
79,535,220,100,0.5714,0.6122,-0.04079999999999995,original_lower,2.4318181818181817,1
80,5509,1525,85,0.2791,0.3721,-0.09299999999999997,original_lower,3.6124590163934425,1
81,1598,264,50,0.3929,0.5357,-0.14279999999999993,original_lower,6.053030303030303,1
82,5168,913,113,0.6731,0.5769,0.09620000000000006,original_higher,5.660460021905805,2
83,357,193,16,1.0,1.0,0.0,zero,1.849740932642487,1
84,2800,1182,45,0.8214,0.8214,0.0,zero,2.3688663282571913,5
85,1145,235,15,0.4545,0.2727,0.18180000000000002,original_higher,4.872340425531915,2
