name,RF_original_length,RF_denoised_length,RF_original_width,RF_original,RF_denoised,RF_difference,RF_bool,cutoff_percent,domains_amount
0,4280,1156,71,0.6279,0.6279,0.0,zero,3.7024221453287196,2
1,3680,2495,38,0.8421,0.8421,0.0,zero,1.4749498997995991,2
2,1789,262,103,0.7206,0.7647,-0.04410000000000003,original_lower,6.82824427480916,1
3,696,301,25,0.6842,0.6842,0.0,zero,2.3122923588039868,1
4,653,230,52,0.3214,0.3571,-0.035699999999999954,original_lower,2.8391304347826085,2
5,3367,1137,41,0.3333,0.3333,0.0,zero,2.961301671064204,2
6,2732,972,72,0.5556,0.5333,0.022299999999999986,original_higher,2.8106995884773665,3
7,3031,1255,35,0.6111,0.6667,-0.05559999999999998,original_lower,2.4151394422310757,2
8,918,438,84,0.3636,0.4364,-0.07280000000000003,original_lower,2.095890410958904,2
9,1880,775,35,0.4333,0.4333,0.0,zero,2.425806451612903,2
10,1081,651,19,0.1667,0.25,-0.08330000000000001,original_lower,1.6605222734254992,2
11,2099,794,27,0.8125,0.8125,0.0,zero,2.6435768261964734,2
12,3952,1700,53,0.9429,0.9429,0.0,zero,2.324705882352941,2
13,595,225,15,1.0,1.0,0.0,zero,2.6444444444444444,2
14,1573,118,15,0.9,1.0,-0.09999999999999998,original_lower,13.330508474576272,1
15,6351,4487,39,1.0,1.0,0.0,zero,1.4154223311789615,12
16,1308,854,35,0.125,0.0625,0.0625,original_higher,1.531615925058548,4
17,651,373,41,0.3478,0.3478,0.0,zero,1.7453083109919572,2
18,672,235,53,0.5833,0.5833,0.0,zero,2.8595744680851065,2
19,1555,807,26,1.0,1.0,0.0,zero,1.9268897149938042,1
20,482,156,79,0.7447,0.7447,0.0,zero,3.08974358974359,1
21,602,342,33,0.8235,0.8235,0.0,zero,1.760233918128655,1
22,2284,777,26,0.9474,0.8947,0.05269999999999997,original_higher,2.9395109395109396,2
23,1828,250,19,0.6667,0.8,-0.13330000000000009,original_lower,7.312,2
24,3420,953,55,0.6571,0.6286,0.02849999999999997,original_higher,3.588667366211962,1
25,2068,520,18,0.9231,0.9231,0.0,zero,3.976923076923077,2
26,1448,888,30,0.8947,0.8947,0.0,zero,1.6306306306306306,2
27,519,229,55,0.75,0.75,0.0,zero,2.2663755458515285,2
28,734,240,87,0.5,0.5333,-0.033299999999999996,original_lower,3.058333333333333,1
29,1620,320,24,1.0,1.0,0.0,zero,5.0625,2
30,1657,535,50,0.9722,0.9444,0.027799999999999936,original_higher,3.097196261682243,1
31,3573,708,39,0.9286,0.9286,0.0,zero,5.046610169491525,1
32,623,136,18,0.5714,0.6429,-0.07150000000000001,original_lower,4.580882352941177,2
33,670,214,19,0.3846,0.3077,0.07690000000000002,original_higher,3.130841121495327,3
34,1670,327,27,0.9,0.85,0.050000000000000044,original_higher,5.107033639143731,2
35,9024,2953,56,0.4324,0.4054,0.027000000000000024,original_higher,3.0558753809685064,2
36,1484,766,86,0.566,0.566,0.0,zero,1.9373368146214098,1
37,1475,381,85,0.5,0.4808,0.019199999999999995,original_higher,3.8713910761154855,1
38,1144,142,16,0.3333,0.75,-0.4167,original_lower,8.056338028169014,3
39,1641,565,62,0.5526,0.5789,-0.02629999999999999,original_lower,2.904424778761062,1
40,1197,573,27,0.5556,0.6111,-0.055499999999999994,original_lower,2.089005235602094,1
41,680,177,19,0.875,0.875,0.0,zero,3.84180790960452,1
42,1061,623,35,0.7083,0.9167,-0.20839999999999992,original_lower,1.7030497592295346,1
43,454,143,91,0.5263,0.5263,0.0,zero,3.174825174825175,1
44,3125,1138,62,0.881,0.9048,-0.023800000000000043,original_lower,2.7460456942003515,2
45,869,313,20,0.875,0.9375,-0.0625,original_lower,2.7763578274760383,1
46,1082,185,37,0.9583,0.9167,0.04160000000000008,original_higher,5.848648648648648,1
47,3050,958,59,0.6216,0.5676,0.05400000000000005,original_higher,3.183716075156576,5
48,464,153,43,0.8077,0.8077,0.0,zero,3.0326797385620914,1
49,706,288,56,0.6,0.6333,-0.033299999999999996,original_lower,2.451388888888889,1
50,2595,1204,63,0.8667,0.8667,0.0,zero,2.1553156146179404,2
51,1886,863,77,0.5778,0.5778,0.0,zero,2.1853997682502895,1
52,1363,441,76,0.3478,0.413,-0.06519999999999998,original_lower,3.090702947845805,2
53,2089,637,20,0.9333,0.9333,0.0,zero,3.279434850863422,3
54,688,416,27,0.8462,0.8462,0.0,zero,1.6538461538461537,1
55,1318,655,55,0.7368,0.7368,0.0,zero,2.0122137404580154,1
56,1590,252,24,0.7222,0.6667,0.055499999999999994,original_higher,6.309523809523809,2
57,905,108,17,0.7273,0.8182,-0.09090000000000009,original_lower,8.37962962962963,2
58,481,95,19,0.9167,0.75,0.16669999999999996,original_higher,5.063157894736842,1
59,994,214,23,0.9412,1.0,-0.05879999999999996,original_lower,4.644859813084112,1
60,1621,530,18,0.4615,0.5385,-0.07699999999999996,original_lower,3.0584905660377357,1
61,1031,431,58,0.4194,0.4194,0.0,zero,2.3921113689095126,3
62,1959,585,63,0.3878,0.3878,0.0,zero,3.348717948717949,2
63,652,479,42,0.7391,0.7391,0.0,zero,1.361169102296451,2
64,1602,690,76,0.6939,0.7143,-0.020400000000000085,original_lower,2.3217391304347825,1
65,305,112,41,0.7,0.7,0.0,zero,2.7232142857142856,1
66,3654,1375,51,0.8621,0.8621,0.0,zero,2.6574545454545455,3
67,7845,4598,40,0.8889,0.8889,0.0,zero,1.7061765985210962,1
68,5696,615,64,0.7895,0.7895,0.0,zero,9.261788617886179,2
69,249,150,19,0.7143,0.7143,0.0,zero,1.66,1
70,965,549,33,0.9412,0.9412,0.0,zero,1.7577413479052824,1
71,1443,185,46,0.5278,0.4722,0.05560000000000004,original_higher,7.8,1
72,1926,964,16,0.5833,0.75,-0.16669999999999996,original_lower,1.9979253112033195,1
73,1959,718,34,0.8333,0.875,-0.04169999999999996,original_lower,2.7284122562674096,2
74,1506,751,31,0.381,0.4762,-0.0952,original_lower,2.0053262316910785,3
75,902,153,74,0.6491,0.6491,0.0,zero,5.895424836601308,1
76,1156,609,28,0.75,0.75,0.0,zero,1.8981937602627257,2
77,858,56,33,0.8929,1.0,-0.10709999999999997,original_lower,15.321428571428571,1
78,6749,3554,20,0.25,0.3125,-0.0625,original_lower,1.8989870568373663,2
79,2346,911,71,0.5455,0.5227,0.02279999999999993,original_higher,2.575192096597146,2
80,3571,2260,37,0.963,0.963,0.0,zero,1.5800884955752212,1
81,3076,1223,37,0.9286,0.9643,-0.035700000000000065,original_lower,2.5151267375306623,1
82,3138,1316,45,0.6923,0.7308,-0.03849999999999998,original_lower,2.384498480243161,1
83,3101,1460,52,0.3667,0.2667,0.10000000000000003,original_higher,2.123972602739726,3
84,448,23,18,0.9167,1.0,-0.08330000000000004,original_lower,19.47826086956522,1
85,1829,1028,20,0.2857,0.3571,-0.07139999999999996,original_lower,1.7791828793774318,4
86,335,142,19,0.5833,0.6667,-0.08339999999999992,original_lower,2.359154929577465,1
87,1150,265,65,0.54,0.58,-0.039999999999999925,original_lower,4.339622641509434,1
88,509,306,19,0.6667,0.8,-0.13330000000000009,original_lower,1.6633986928104576,1
89,1667,530,54,0.9688,0.9688,0.0,zero,3.1452830188679246,1
90,3757,1566,50,0.9333,0.9333,0.0,zero,2.3991060025542783,1
91,1085,208,39,0.6538,0.6538,0.0,zero,5.216346153846154,1
92,414,194,18,0.3333,0.2222,0.11109999999999998,original_higher,2.134020618556701,2
93,1010,732,17,0.625,0.25,0.375,original_higher,1.3797814207650274,2
94,1001,323,90,0.7,0.7167,-0.016700000000000048,original_lower,3.0990712074303404,1
95,1469,324,17,0.1,0.2,-0.1,original_lower,4.533950617283951,2
96,1236,344,43,0.6875,0.75,-0.0625,original_lower,3.5930232558139537,1
97,597,220,86,0.7736,0.6981,0.0754999999999999,original_higher,2.713636363636364,1
98,3339,1007,28,0.2727,0.2273,0.045399999999999996,original_higher,3.3157894736842106,4
99,1362,166,15,0.6667,0.8889,-0.22220000000000006,original_lower,8.204819277108435,2
100,469,232,46,0.6552,0.6552,0.0,zero,2.021551724137931,1
101,386,212,52,0.5185,0.5556,-0.03710000000000002,original_lower,1.820754716981132,1
102,1387,654,35,0.2,0.24,-0.03999999999999998,original_lower,2.120795107033639,3
103,387,155,88,0.7636,0.8182,-0.05460000000000009,original_lower,2.496774193548387,1
104,496,262,45,0.931,0.931,0.0,zero,1.8931297709923665,3
105,929,494,37,0.5333,0.4667,0.06659999999999999,original_higher,1.8805668016194332,3
106,454,206,20,0.7333,0.8,-0.06670000000000009,original_lower,2.203883495145631,2
107,3122,1194,41,0.64,0.6,0.040000000000000036,original_higher,2.6147403685092128,3
108,1574,836,31,0.72,0.76,-0.040000000000000036,original_lower,1.8827751196172249,2
109,2462,1063,42,0.9355,0.9355,0.0,zero,2.3160865475070556,2
110,2400,633,35,0.7222,0.6667,0.055499999999999994,original_higher,3.7914691943127963,2
111,645,96,15,1.0,1.0,0.0,zero,6.71875,1
112,783,119,16,0.8333,0.9167,-0.08339999999999992,original_lower,6.579831932773109,2
113,2130,1061,31,0.8182,0.8182,0.0,zero,2.007540056550424,7
114,5924,1506,38,0.52,0.52,0.0,zero,3.9335989375830014,4
115,1054,286,27,0.9,0.95,-0.04999999999999993,original_lower,3.6853146853146854,2
116,3668,1942,92,0.4211,0.4211,0.0,zero,1.8887744593202884,2
117,1228,123,15,0.75,0.6667,0.08330000000000004,original_higher,9.983739837398375,1
118,1382,582,20,0.8235,0.8235,0.0,zero,2.374570446735395,3
119,2037,462,38,0.9643,0.9643,0.0,zero,4.409090909090909,1
120,2566,521,69,0.7045,0.75,-0.045499999999999985,original_lower,4.925143953934741,2
121,1760,1031,54,0.7931,0.7586,0.034499999999999975,original_higher,1.7070805043646944,1
122,1267,682,36,0.3158,0.3158,0.0,zero,1.8577712609970674,3
123,1889,119,39,0.8276,0.8621,-0.034499999999999975,original_lower,15.873949579831933,1
124,3785,1104,52,0.1613,0.2581,-0.0968,original_lower,3.4284420289855073,3
125,1815,276,45,0.871,0.8387,0.032299999999999995,original_higher,6.576086956521739,1
126,2831,815,58,0.6818,0.5682,0.11359999999999992,original_higher,3.4736196319018404,2
127,1025,404,32,0.9167,0.9583,-0.04160000000000008,original_lower,2.537128712871287,1
128,1824,180,17,0.8182,1.0,-0.18179999999999996,original_lower,10.133333333333333,1
129,1053,253,50,0.7188,0.7188,0.0,zero,4.16205533596838,1
130,4090,1518,52,0.6452,0.7097,-0.0645,original_lower,2.69433465085639,3
131,514,195,51,0.8056,0.75,0.05559999999999998,original_higher,2.635897435897436,1
132,1216,471,30,0.9231,0.9231,0.0,zero,2.581740976645435,1
133,1519,812,21,0.4615,0.4615,0.0,zero,1.8706896551724137,2
134,487,220,62,0.75,0.725,0.025000000000000022,original_higher,2.213636363636364,2
135,4686,867,31,0.6364,0.7273,-0.09089999999999998,original_lower,5.404844290657439,1
136,657,300,66,0.3611,0.4444,-0.08330000000000004,original_lower,2.19,2
137,2588,607,17,0.9,0.8,0.09999999999999998,original_higher,4.263591433278418,2
138,1385,866,43,0.25,0.3,-0.04999999999999999,original_lower,1.5993071593533488,2
139,3337,1231,41,0.3478,0.3043,0.04349999999999998,original_higher,2.710804224207961,2
140,626,171,84,0.6604,0.6981,-0.03770000000000007,original_lower,3.6608187134502925,1
141,1265,507,64,0.7368,0.7368,0.0,zero,2.495069033530572,1
142,2984,321,23,0.8889,1.0,-0.11109999999999998,original_lower,9.29595015576324,2
143,2138,545,17,1.0,1.0,0.0,zero,3.922935779816514,1
144,2977,1023,49,0.625,0.625,0.0,zero,2.9100684261974585,1
145,1058,334,17,0.5455,0.6364,-0.09089999999999998,original_lower,3.1676646706586826,2
146,566,150,20,0.6,0.7,-0.09999999999999998,original_lower,3.7733333333333334,2
147,1249,289,26,1.0,1.0,0.0,zero,4.321799307958478,1
148,1550,570,21,0.6429,0.6429,0.0,zero,2.719298245614035,2
149,429,181,54,0.8611,0.8611,0.0,zero,2.3701657458563536,1
150,514,62,15,0.9,0.9,0.0,zero,8.290322580645162,1
151,3146,1148,17,0.7692,0.7692,0.0,zero,2.740418118466899,4
152,1542,803,90,0.5926,0.5741,0.01849999999999996,original_higher,1.9202988792029887,1
153,809,259,44,0.7,0.7333,-0.033299999999999996,original_lower,3.1235521235521237,2
154,1974,385,22,0.5333,0.6667,-0.13339999999999996,original_lower,5.127272727272727,1
155,1068,507,27,0.7727,0.7727,0.0,zero,2.106508875739645,2
156,2605,205,40,1.0,1.0,0.0,zero,12.707317073170731,1
157,1332,418,22,0.625,0.75,-0.125,original_lower,3.186602870813397,2
158,2234,684,31,0.5833,0.5833,0.0,zero,3.2660818713450293,2
159,1062,198,16,1.0,1.0,0.0,zero,5.363636363636363,2
160,823,386,55,0.3333,0.3667,-0.03340000000000004,original_lower,2.1321243523316062,3
161,604,97,21,0.8667,0.8667,0.0,zero,6.22680412371134,1
162,386,216,22,0.2727,0.2727,0.0,zero,1.787037037037037,2
163,2732,1024,75,0.6042,0.5833,0.02089999999999992,original_higher,2.66796875,3
164,601,336,26,0.8571,0.8571,0.0,zero,1.7886904761904763,1
165,6326,1490,38,0.9259,0.9259,0.0,zero,4.245637583892617,3
166,1219,526,25,0.4706,0.3529,0.11770000000000003,original_higher,2.317490494296578,2
167,1758,184,40,0.9643,0.9643,0.0,zero,9.554347826086957,1
168,1525,570,42,0.4231,0.3846,0.03849999999999998,original_higher,2.675438596491228,3
169,1150,534,32,0.2857,0.381,-0.0953,original_lower,2.153558052434457,1
170,697,189,84,0.8421,0.8421,0.0,zero,3.687830687830688,1
171,1031,311,47,0.5278,0.5,0.027800000000000047,original_higher,3.315112540192926,2
172,2623,1238,62,1.0,1.0,0.0,zero,2.118739903069467,2
173,2515,814,32,0.84,0.88,-0.040000000000000036,original_lower,3.0896805896805897,1
174,2467,757,40,0.7,0.7,0.0,zero,3.2589167767503304,1
175,1483,582,93,0.6349,0.6349,0.0,zero,2.5481099656357387,1
176,832,101,28,0.9091,0.9091,0.0,zero,8.237623762376238,2
177,816,147,16,0.4167,0.6667,-0.24999999999999994,original_lower,5.551020408163265,1
178,2791,517,76,0.5625,0.6042,-0.04169999999999996,original_lower,5.398452611218569,1
179,2526,872,82,0.6981,0.6981,0.0,zero,2.896788990825688,1
180,760,266,38,0.875,0.9583,-0.08330000000000004,original_lower,2.857142857142857,1
181,1056,129,87,0.8393,0.8036,0.035700000000000065,original_higher,8.186046511627907,1
182,1792,109,15,0.8182,0.8182,0.0,zero,16.440366972477065,1
183,524,172,15,0.1818,0.5455,-0.3637,original_lower,3.046511627906977,3
184,1375,357,28,0.8947,0.9474,-0.05269999999999997,original_lower,3.8515406162464987,2
185,890,128,15,0.7,0.7,0.0,zero,6.953125,1
186,1094,438,36,0.9583,0.9583,0.0,zero,2.497716894977169,1
187,913,632,18,0.25,0.5,-0.25,original_lower,1.4446202531645569,4
188,7216,1223,72,0.7727,0.6591,0.11360000000000003,original_higher,5.9002452984464435,2
189,536,222,46,0.5484,0.6129,-0.0645,original_lower,2.4144144144144146,1
190,1782,811,22,0.9286,1.0,-0.07140000000000002,original_lower,2.1972872996300863,2
191,665,103,25,0.6667,0.6667,0.0,zero,6.456310679611651,2
192,1001,148,22,0.9286,0.9286,0.0,zero,6.763513513513513,1
193,1132,231,74,0.4222,0.4222,0.0,zero,4.9004329004329,1
194,1400,620,51,0.8,0.8333,-0.033299999999999996,original_lower,2.2580645161290325,3
195,1434,200,56,0.5882,0.7059,-0.11770000000000003,original_lower,7.17,1
196,514,146,65,0.6923,0.6667,0.025600000000000067,original_higher,3.5205479452054793,1
197,1891,942,46,0.9655,0.9655,0.0,zero,2.007430997876858,2
198,965,687,41,0.7692,0.7692,0.0,zero,1.4046579330422124,4
199,5405,2945,60,0.6585,0.561,0.09749999999999992,original_higher,1.8353140916808148,3
200,357,51,63,0.8158,0.9474,-0.13160000000000005,original_lower,7.0,1
201,5107,1471,59,0.8462,0.8462,0.0,zero,3.4717878993881714,2
202,1805,579,37,0.5789,0.5263,0.05259999999999998,original_higher,3.1174438687392056,3
203,981,531,72,0.5455,0.5455,0.0,zero,1.847457627118644,2
204,1007,482,38,0.5,0.5,0.0,zero,2.0892116182572615,1
205,648,152,62,0.6279,0.6047,0.0232,original_higher,4.2631578947368425,1
206,1119,635,39,0.7647,0.7647,0.0,zero,1.7622047244094488,3
207,1861,808,76,0.5192,0.5192,0.0,zero,2.3032178217821784,2
208,4075,2033,22,0.375,0.375,0.0,zero,2.004426955238564,4
209,1327,560,94,0.5085,0.4915,0.01699999999999996,original_higher,2.369642857142857,1
210,799,72,17,0.5714,0.7143,-0.14290000000000003,original_lower,11.097222222222221,2
211,875,490,19,1.0,1.0,0.0,zero,1.7857142857142858,2
212,1728,461,57,0.6087,0.5652,0.04349999999999998,original_higher,3.7483731019522777,1
213,7601,2177,31,0.9091,0.9091,0.0,zero,3.491502067064768,2
214,3558,719,90,0.7593,0.6852,0.07409999999999994,original_higher,4.948539638386648,1
215,5797,758,36,0.8077,0.7692,0.03849999999999998,original_higher,7.647757255936676,2
216,668,383,52,0.9333,0.9333,0.0,zero,1.7441253263707572,2
217,855,256,56,0.9,0.875,0.025000000000000022,original_higher,3.33984375,1
218,2371,858,83,0.6667,0.537,0.12969999999999993,original_higher,2.7634032634032635,1
219,1782,286,23,0.9444,0.8889,0.055499999999999994,original_higher,6.230769230769231,1
220,2738,698,53,0.9459,0.8919,0.05399999999999994,original_higher,3.9226361031518624,2
221,1602,383,19,0.8667,0.8667,0.0,zero,4.1827676240208875,3
222,1931,343,46,0.8519,0.8519,0.0,zero,5.629737609329446,1
223,737,76,15,1.0,1.0,0.0,zero,9.697368421052632,1
224,986,204,68,0.7561,0.7561,0.0,zero,4.833333333333333,1
225,653,130,15,0.6,0.7,-0.09999999999999998,original_lower,5.023076923076923,3
226,1675,536,44,1.0,1.0,0.0,zero,3.125,2
227,636,130,19,0.625,0.5625,0.0625,original_higher,4.892307692307693,2
228,1106,493,18,0.5333,0.4667,0.06659999999999999,original_higher,2.2434077079107504,3
229,1118,80,15,0.9091,0.9091,0.0,zero,13.975,1
230,1911,305,37,0.88,0.84,0.040000000000000036,original_higher,6.2655737704918035,1
231,1236,686,29,0.5455,0.5455,0.0,zero,1.8017492711370262,2
232,578,250,46,0.3704,0.4444,-0.07400000000000001,original_lower,2.312,1
233,2117,1132,40,0.8214,0.7857,0.035700000000000065,original_higher,1.8701413427561837,3
234,975,210,17,1.0,1.0,0.0,zero,4.642857142857143,1
235,1119,509,17,0.8333,0.8333,0.0,zero,2.1984282907662083,6
236,956,655,38,0.7647,0.7647,0.0,zero,1.4595419847328244,1
237,1142,613,76,0.5106,0.5319,-0.021299999999999986,original_lower,1.8629690048939642,1
238,1060,386,15,0.7273,0.8182,-0.09090000000000009,original_lower,2.7461139896373057,2
239,454,171,61,0.7895,0.7895,0.0,zero,2.654970760233918,1
240,698,234,35,0.8261,0.7826,0.04349999999999998,original_higher,2.982905982905983,1
241,1832,272,55,1.0,1.0,0.0,zero,6.735294117647059,1
242,3799,1013,23,1.0,1.0,0.0,zero,3.7502467917077986,1
243,523,170,38,0.5185,0.5556,-0.03710000000000002,original_lower,3.0764705882352943,1
244,1241,131,38,0.9667,1.0,-0.033299999999999996,original_lower,9.473282442748092,1
245,1037,376,48,0.3913,0.4348,-0.04350000000000004,original_lower,2.757978723404255,2
246,2204,695,61,0.6098,0.561,0.048799999999999955,original_higher,3.1712230215827337,1
247,267,92,16,0.7273,0.8182,-0.09090000000000009,original_lower,2.902173913043478,1
248,381,159,33,0.5,0.5455,-0.045499999999999985,original_lower,2.3962264150943398,1
249,1119,511,21,0.7333,0.7333,0.0,zero,2.1898238747553815,1
250,7079,2633,26,0.6,0.45,0.14999999999999997,original_higher,2.6885681731864794,2
251,545,69,18,0.8571,0.7143,0.14279999999999993,original_higher,7.898550724637682,1
252,5559,983,42,0.9286,0.9286,0.0,zero,5.655137334689726,2
253,2163,941,37,0.963,0.963,0.0,zero,2.298618490967056,3
254,2459,263,20,0.9333,0.9333,0.0,zero,9.34980988593156,2
255,3053,1398,42,0.3448,0.3793,-0.03450000000000003,original_lower,2.183834048640916,5
256,1980,711,25,0.8421,0.8421,0.0,zero,2.7848101265822787,3
257,3352,730,31,0.8261,0.8261,0.0,zero,4.5917808219178085,2
258,1385,621,45,0.72,0.68,0.039999999999999925,original_higher,2.2302737520128826,2
259,1714,88,23,0.8889,0.8889,0.0,zero,19.477272727272727,1
260,1683,357,21,0.9167,0.9167,0.0,zero,4.714285714285714,1
261,1238,401,16,0.2727,0.3636,-0.09089999999999998,original_lower,3.0872817955112217,2
262,817,205,15,0.3333,0.8889,-0.5556000000000001,original_lower,3.9853658536585366,2
263,497,285,49,0.1923,0.3077,-0.11539999999999997,original_lower,1.743859649122807,2
264,1252,456,17,1.0,1.0,0.0,zero,2.745614035087719,3
265,1345,364,33,0.2143,0.1429,0.07139999999999999,original_higher,3.6950549450549453,2
266,3028,904,29,0.9,0.9,0.0,zero,3.349557522123894,2
267,1440,917,22,0.9333,0.9333,0.0,zero,1.5703380588876772,2
268,221,112,26,0.5,0.5,0.0,zero,1.9732142857142858,1
269,3052,1347,44,0.4615,0.3846,0.07690000000000002,original_higher,2.2657757980697846,6
270,765,423,34,0.2941,0.2353,0.05879999999999996,original_higher,1.8085106382978724,3
271,452,214,74,0.7778,0.6444,0.13340000000000007,original_higher,2.1121495327102804,1
272,611,68,19,0.6667,0.9167,-0.25,original_lower,8.985294117647058,2
273,1448,282,16,0.7273,0.4545,0.27279999999999993,original_higher,5.134751773049645,2
274,6055,1344,55,0.6857,0.6857,0.0,zero,4.505208333333333,3
275,2393,717,37,0.5862,0.5862,0.0,zero,3.3375174337517435,3
276,4590,3443,49,0.9167,0.9722,-0.055499999999999994,original_lower,1.3331397037467325,1
277,445,168,36,0.8095,0.8095,0.0,zero,2.6488095238095237,1
278,1036,362,18,0.5714,0.5714,0.0,zero,2.861878453038674,2
