name,RF_original_length,RF_denoised_length,RF_original_width,RF_original,RF_denoised,RF_difference,RF_bool,cutoff_percent,domains_amount
0,2432,1185,77,0.8857,0.8857,0.0,zero,2.052320675105485,2
1,629,265,62,0.8,0.75,0.050000000000000044,original_higher,2.3735849056603775,1
2,670,510,147,0.5319,0.5532,-0.021299999999999986,original_lower,1.3137254901960784,2
3,217,92,54,0.92,0.8,0.12,original_higher,2.358695652173913,1
4,1002,641,78,0.72,0.72,0.0,zero,1.563182527301092,3
5,613,259,38,0.8333,0.8333,0.0,zero,2.3667953667953667,1
6,643,433,265,0.5977,0.5977,0.0,zero,1.4849884526558892,3
7,1511,478,23,0.6,0.6,0.0,zero,3.1610878661087867,1
8,557,348,63,0.7273,0.7727,-0.04540000000000011,original_lower,1.6005747126436782,1
9,451,211,286,0.5361,0.5361,0.0,zero,2.137440758293839,1
10,570,311,65,0.75,0.75,0.0,zero,1.832797427652733,1
11,1177,708,19,0.7143,0.7143,0.0,zero,1.6624293785310735,3
12,828,336,31,0.6,0.6667,-0.06669999999999998,original_lower,2.4642857142857144,3
13,483,286,47,0.7778,0.8333,-0.055499999999999994,original_lower,1.6888111888111887,1
14,347,256,56,0.7619,0.7619,0.0,zero,1.35546875,1
15,550,198,17,0.5,0.5,0.0,zero,2.7777777777777777,1
16,183,118,61,0.7692,0.7692,0.0,zero,1.5508474576271187,1
17,986,283,17,1.0,1.0,0.0,zero,3.4840989399293285,1
18,1372,363,21,0.5714,0.5714,0.0,zero,3.7796143250688705,3
19,434,250,59,0.5185,0.5556,-0.03710000000000002,original_lower,1.736,1
20,2056,361,28,0.8333,0.9167,-0.08339999999999992,original_lower,5.695290858725762,1
21,1697,293,24,0.9,1.0,-0.09999999999999998,original_lower,5.791808873720137,1
22,725,531,140,0.8367,0.8367,0.0,zero,1.3653483992467044,1
23,274,93,297,0.6465,0.6566,-0.010099999999999998,original_lower,2.946236559139785,1
24,943,333,113,0.9574,0.9574,0.0,zero,2.8318318318318316,1
25,237,83,18,0.8333,0.8333,0.0,zero,2.855421686746988,1
26,432,68,50,0.6667,0.6667,0.0,zero,6.352941176470588,1
27,578,367,71,0.7097,0.7097,0.0,zero,1.5749318801089918,1
28,140,48,39,0.6,0.6,0.0,zero,2.9166666666666665,1
29,505,241,244,0.5814,0.5814,0.0,zero,2.095435684647303,2
30,1098,642,40,0.6875,0.6875,0.0,zero,1.7102803738317758,3
31,791,454,117,0.7727,0.7727,0.0,zero,1.7422907488986785,2
32,1493,991,40,0.8636,0.8182,0.045399999999999996,original_higher,1.5065590312815338,1
33,1019,675,36,0.7059,0.7059,0.0,zero,1.5096296296296297,5
34,880,601,103,0.881,0.8571,0.023900000000000032,original_higher,1.464226289517471,1
35,1169,523,35,0.8235,0.8235,0.0,zero,2.2351816443594648,1
36,1013,592,17,0.1111,0.1111,0.0,zero,1.7111486486486487,3
37,571,397,16,0.2,0.2,0.0,zero,1.438287153652393,3
38,1670,774,143,0.7069,0.7069,0.0,zero,2.157622739018088,1
39,189,38,88,0.7714,0.8,-0.02860000000000007,original_lower,4.973684210526316,1
40,1458,64,18,0.8571,0.8571,0.0,zero,22.78125,1
41,942,516,283,0.6304,0.6087,0.02169999999999994,original_higher,1.8255813953488371,2
42,504,281,36,0.8182,0.7273,0.09090000000000009,original_higher,1.793594306049822,3
43,787,301,66,0.65,0.65,0.0,zero,2.6146179401993357,1
44,1197,765,178,0.5556,0.5238,0.03179999999999994,original_higher,1.5647058823529412,1
45,206,128,107,0.8378,0.8649,-0.027100000000000013,original_lower,1.609375,1
46,769,285,30,0.8125,0.8125,0.0,zero,2.6982456140350877,2
47,1208,795,20,0.9091,0.9091,0.0,zero,1.519496855345912,4
48,1017,424,27,0.5385,0.5385,0.0,zero,2.3985849056603774,1
49,790,383,82,0.7188,0.7188,0.0,zero,2.06266318537859,1
50,1901,625,38,0.8667,0.9333,-0.06659999999999999,original_lower,3.0416,1
51,969,501,43,0.7222,0.7778,-0.055600000000000094,original_lower,1.9341317365269461,2
52,1440,1151,59,0.8261,0.8261,0.0,zero,1.2510860121633363,6
53,952,506,26,0.6429,0.6429,0.0,zero,1.8814229249011858,3
54,516,406,16,0.8333,0.8333,0.0,zero,1.270935960591133,1
55,451,91,21,0.7,0.8,-0.10000000000000009,original_lower,4.956043956043956,2
56,196,47,22,0.875,1.0,-0.125,original_lower,4.170212765957447,1
57,891,635,98,0.7561,0.7561,0.0,zero,1.4031496062992126,1
58,140,73,26,1.0,1.0,0.0,zero,1.917808219178082,1
59,1000,142,148,0.8824,0.8431,0.0393,original_higher,7.042253521126761,1
60,1701,306,101,0.6857,0.6571,0.02859999999999996,original_higher,5.5588235294117645,1
61,818,469,58,0.8,0.8,0.0,zero,1.744136460554371,1
62,499,279,112,0.6889,0.6889,0.0,zero,1.7885304659498207,2
63,1791,312,37,0.7222,0.7778,-0.055600000000000094,original_lower,5.740384615384615,1
64,630,406,27,0.0,0.125,-0.125,original_lower,1.5517241379310345,4
