name,RF_original_length,RF_denoised_length,RF_original_width,RF_original,RF_denoised,RF_difference,RF_bool,cutoff_percent,domains_amount
0,731,285,16,0.4,0.5,-0.09999999999999998,original_lower,2.5649122807017544,3
1,576,243,19,1.0,1.0,0.0,zero,2.3703703703703702,1
2,1242,349,37,0.24,0.24,0.0,zero,3.5587392550143266,2
3,2093,1160,33,0.3182,0.3182,0.0,zero,1.8043103448275861,3
4,1490,390,65,0.5111,0.4444,0.06669999999999998,original_higher,3.8205128205128207,1
5,1013,28,15,1.0,1.0,0.0,zero,36.17857142857143,1
6,798,404,34,0.3,0.2,0.09999999999999998,original_higher,1.9752475247524752,4
7,622,201,60,0.4146,0.3171,0.09750000000000003,original_higher,3.0945273631840795,1
8,2015,562,53,0.2703,0.2162,0.05409999999999998,original_higher,3.5854092526690393,1
9,1065,322,40,0.4348,0.4348,0.0,zero,3.3074534161490683,1
10,727,204,54,0.4706,0.4706,0.0,zero,3.5637254901960786,1
11,1073,627,20,0.3333,0.4,-0.06670000000000004,original_lower,1.711323763955343,2
12,615,153,53,0.2727,0.3636,-0.09089999999999998,original_lower,4.019607843137255,2
13,568,89,16,1.0,0.9091,0.09089999999999998,original_higher,6.382022471910112,1
14,734,310,40,0.3077,0.3077,0.0,zero,2.367741935483871,1
15,961,208,29,0.7059,0.7647,-0.058800000000000074,original_lower,4.6201923076923075,2
16,492,152,15,0.4444,0.5556,-0.11119999999999997,original_lower,3.236842105263158,2
17,2394,715,26,0.7368,0.7368,0.0,zero,3.3482517482517484,1
18,2132,1171,15,0.7,0.7,0.0,zero,1.82066609735269,2
19,1344,100,15,0.5556,0.7778,-0.22220000000000006,original_lower,13.44,1
20,820,174,25,0.9333,0.9333,0.0,zero,4.712643678160919,2
21,934,200,16,0.8182,0.8182,0.0,zero,4.67,2
22,4633,1414,28,0.1579,0.1053,0.05260000000000001,original_higher,3.2765205091937766,2
23,827,437,30,0.4211,0.4211,0.0,zero,1.8924485125858124,3
24,932,154,22,0.7333,0.7333,0.0,zero,6.0519480519480515,1
25,2504,1506,15,0.125,0.25,-0.125,original_lower,1.6626826029216468,4
26,1223,740,17,0.4167,0.5,-0.08329999999999999,original_lower,1.6527027027027028,3
27,491,237,32,0.5238,0.619,-0.09519999999999995,original_lower,2.071729957805907,1
28,706,264,62,0.25,0.25,0.0,zero,2.6742424242424243,1
29,4464,2849,17,0.5,0.5833,-0.08330000000000004,original_lower,1.5668655668655669,3
30,893,45,18,1.0,1.0,0.0,zero,19.844444444444445,1
31,868,37,21,1.0,1.0,0.0,zero,23.45945945945946,1
32,1420,722,54,0.3333,0.2564,0.07689999999999997,original_higher,1.9667590027700832,1
33,557,93,61,0.4048,0.4524,-0.04760000000000003,original_lower,5.989247311827957,1
34,875,308,25,0.3529,0.5294,-0.1765,original_lower,2.840909090909091,1
35,620,127,15,0.9091,1.0,-0.09089999999999998,original_lower,4.881889763779528,1
36,1792,531,18,0.6154,0.6923,-0.07690000000000008,original_lower,3.3747645951035783,4
37,927,453,20,0.6667,0.6667,0.0,zero,2.0463576158940397,2
38,379,42,16,0.9091,0.9091,0.0,zero,9.023809523809524,2
39,1923,574,71,0.3469,0.449,-0.10210000000000002,original_lower,3.3501742160278747,1
40,3115,1637,19,0.2308,0.1538,0.07700000000000001,original_higher,1.902871105681124,4
41,634,301,41,0.375,0.2917,0.08329999999999999,original_higher,2.106312292358804,3
42,1154,341,34,0.2917,0.5,-0.20829999999999999,original_lower,3.3841642228739004,2
43,262,107,34,0.625,0.6667,-0.04169999999999996,original_lower,2.4485981308411215,2
44,582,400,36,0.5,0.5417,-0.04169999999999996,original_lower,1.455,1
45,1468,553,35,0.9048,0.9048,0.0,zero,2.6546112115732368,2
46,1186,676,49,0.3103,0.3103,0.0,zero,1.7544378698224852,5
47,1289,385,38,0.4815,0.4444,0.037099999999999966,original_higher,3.348051948051948,2
48,1238,394,44,0.2,0.36,-0.15999999999999998,original_lower,3.1421319796954315,3
49,578,233,40,0.3704,0.4074,-0.03699999999999998,original_lower,2.48068669527897,1
50,1138,286,15,0.4545,0.5455,-0.09099999999999997,original_lower,3.979020979020979,1
51,1499,276,42,0.5769,0.5769,0.0,zero,5.431159420289855,1
52,926,365,50,0.4571,0.4,0.057099999999999984,original_higher,2.536986301369863,1
53,1501,584,17,0.75,0.75,0.0,zero,2.5702054794520546,2
54,357,203,29,0.7895,0.7895,0.0,zero,1.7586206896551724,1
55,1102,529,36,0.5909,0.5909,0.0,zero,2.0831758034026464,3
56,344,107,51,0.375,0.5312,-0.1562,original_lower,3.2149532710280373,1
57,656,20,16,0.8889,0.8889,0.0,zero,32.8,1
58,5032,3079,35,0.125,0.125,0.0,zero,1.634296849626502,5
59,1714,587,57,0.3714,0.4,-0.028600000000000014,original_lower,2.9199318568994888,1
60,875,282,22,0.5,0.5,0.0,zero,3.102836879432624,1
61,511,174,21,0.7692,0.9231,-0.15390000000000004,original_lower,2.9367816091954024,1
62,534,184,60,0.5238,0.5714,-0.047599999999999976,original_lower,2.902173913043478,1
63,477,157,18,0.7857,0.8571,-0.07140000000000002,original_lower,3.038216560509554,1
64,6832,2515,72,0.1667,0.1458,0.020899999999999974,original_higher,2.716500994035785,1
65,1278,416,64,0.2683,0.2439,0.024399999999999977,original_higher,3.0721153846153846,2
66,790,394,45,0.6,0.6667,-0.06669999999999998,original_lower,2.00507614213198,1
67,1128,506,39,0.1481,0.2593,-0.11119999999999997,original_lower,2.2292490118577075,1
68,678,198,53,0.3889,0.4444,-0.055499999999999994,original_lower,3.4242424242424243,1
69,654,262,18,0.2,0.2,0.0,zero,2.49618320610687,2
70,571,187,54,0.5789,0.4474,0.13149999999999995,original_higher,3.053475935828877,1
71,2279,1263,21,0.4615,0.3846,0.07690000000000002,original_higher,1.8044338875692796,2
72,757,53,20,0.6154,1.0,-0.38460000000000005,original_lower,14.283018867924529,1
73,1057,403,17,0.7692,0.7692,0.0,zero,2.6228287841191067,1
74,2406,1040,41,0.4167,0.3333,0.08340000000000003,original_higher,2.3134615384615387,3
75,1332,194,19,0.5833,0.5833,0.0,zero,6.865979381443299,2
76,1121,464,15,0.3636,0.0909,0.2727,original_higher,2.415948275862069,2
77,564,277,20,0.2143,0.2857,-0.07140000000000002,original_lower,2.036101083032491,1
78,989,182,27,0.6,0.7333,-0.13329999999999997,original_lower,5.434065934065934,3
79,858,77,15,1.0,0.9,0.09999999999999998,original_higher,11.142857142857142,3
80,693,238,16,0.5,0.8333,-0.33330000000000004,original_lower,2.911764705882353,2
81,1409,241,24,0.7333,0.7333,0.0,zero,5.846473029045643,1
82,840,370,20,0.5385,0.5385,0.0,zero,2.27027027027027,2
83,1257,30,22,1.0,1.0,0.0,zero,41.9,1
84,865,263,55,0.3158,0.3947,-0.07889999999999997,original_lower,3.288973384030418,1
85,1690,362,18,0.6429,0.7143,-0.07140000000000002,original_lower,4.668508287292818,1
86,4068,1467,41,0.1852,0.1481,0.037099999999999994,original_higher,2.773006134969325,2
87,1376,246,20,0.3077,0.4615,-0.15380000000000005,original_lower,5.59349593495935,1
88,1961,663,47,0.3,0.2333,0.06669999999999998,original_higher,2.957767722473605,1
89,1436,387,16,0.6154,0.8462,-0.2308,original_lower,3.710594315245478,1
90,582,218,24,0.875,0.875,0.0,zero,2.669724770642202,1
91,1665,315,26,1.0,1.0,0.0,zero,5.285714285714286,1
92,771,225,15,0.75,0.75,0.0,zero,3.4266666666666667,2
93,257,61,15,0.1,0.5,-0.4,original_lower,4.213114754098361,1
94,1011,225,31,0.3889,0.4444,-0.055499999999999994,original_lower,4.493333333333333,2
95,1374,767,59,0.2,0.2,0.0,zero,1.7913950456323338,1
96,818,138,61,0.3095,0.5714,-0.2619,original_lower,5.927536231884058,1
97,2631,463,18,1.0,1.0,0.0,zero,5.682505399568035,1
98,827,158,60,0.425,0.4,0.024999999999999967,original_higher,5.234177215189874,1
99,937,438,15,0.0,0.25,-0.25,original_lower,2.1392694063926943,2
100,1682,828,18,0.3846,0.3077,0.07690000000000002,original_higher,2.031400966183575,2
101,186,41,25,0.5556,0.5,0.05559999999999998,original_higher,4.536585365853658,1
102,348,102,36,0.76,0.76,0.0,zero,3.411764705882353,1
103,1830,790,27,0.2941,0.4118,-0.11770000000000003,original_lower,2.3164556962025316,1
104,1714,497,37,0.2963,0.4074,-0.11109999999999998,original_lower,3.448692152917505,2
105,2092,872,25,0.8333,0.8889,-0.05559999999999998,original_lower,2.3990825688073394,1
106,798,479,25,0.75,0.75,0.0,zero,1.6659707724425887,3
107,1075,60,21,0.9231,1.0,-0.07689999999999997,original_lower,17.916666666666668,1
108,496,166,56,0.4103,0.4359,-0.02560000000000001,original_lower,2.9879518072289155,1
109,1692,107,19,0.8462,0.6923,0.15389999999999993,original_higher,15.813084112149532,1
