,apply,species,genus
0,"['THEBD_D6Y6N3' 'LENAE_A0A0F0H164' 'SALTO_A4X1C1' 'CELFA_F4H8L0'
 'CORA7_C3PK39' 'GLUAR_E1VW12' 'AMYME_A0A076N031' 'NOCFA_Q5YND3'
 'RHOSX_A0A0D8I159' 'SACEN_A4FR03' 'NOCSJ_A1SFU1' 'PSEUX_F4CWJ8'
 'SACVD_C7MVH4' 'XYLCX_D1BYS1' 'ACTM4_I0H243' 'MICS3_C4RF35'
 'STRA7_A3KJT9' 'STRHI_A0A1M4UM03' 'MOBCV_D6ZKM4' 'GORB4_D0L6M5'
 'TSUPD_D5UN49' 'SACSY_A0A5Q0HG54' 'ISOV2_F6FPT0' 'MICPN_F5XST3'
 'KINRD_A6W4Z9' 'ACTMD_C6WR67' 'CATAD_C7Q0R5' 'SANKS_D1BKN3'
 'EGGLE_C8WHF4' 'BEUC1_C5C0Y2']","['THEBD', 'LENAE', 'SALTO', 'CELFA', 'CORA7', 'GLUAR', 'AMYME', 'NOCFA', 'RHOSX', 'SACEN', 'NOCSJ', 'PSEUX', 'SACVD', 'XYLCX', 'ACTM4', 'MICS3', 'STRA7', 'STRHI', 'MOBCV', 'GORB4', 'TSUPD', 'SACSY', 'ISOV2', 'MICPN', 'KINRD', 'ACTMD', 'CATAD', 'SANKS', 'EGGLE', 'BEUC1']","['147067', '165301', '168694', '1707', '1716', '1742989', '1813', '1817', '1827', '1835', '1839', '1847', '1851', '186188', '1865', '1873', '1883', '2016', '2050', '2053', '2060', '2071', '254250', '29404', '33981', '40566', '414878', '60919', '84111', '84756']"
1,"['MYCSD_F5YZW8' 'LEIXX_PDXY' 'OLSUV_E1QXQ3' 'THEBD_D6Y670'
 'ARTGL_A0A2S3ZXX1' 'BIFA0_B8DTE5' 'CELFN_D5UKF0' 'CORP2_D9QBR4'
 'GLUAR_E1VSI8' 'PAEAT_A1R2R6' 'PSEPM_F0MAZ7' 'MYCMM_B2HQM4'
 'NOCFA_Q5YNS0' 'RHOJR_Q0SEP6' 'PSEAH_A0A1Y2N966' 'FRASN_A8L581'
 'XYLCX_D1BRZ2' 'MYCVN_A0A5S9PVA4' 'MICEC_A0A1C4XA30' 'STRST_A0A516RE33'
 'CONWI_D3F1C6' 'PARDN_E6JZK1' 'STRRD_D2AVL2' 'NOCAA_J7L3M8'
 'STRHI_A0A1M4W9K9' 'THECD_D1AB36' 'KIBAR_A0A1W2DV25' 'NOCSI_A0A0A1DMY6'
 'KITSK_E4NHF4' 'SACES_K0JQB1' 'STRJI_A0A1H7XUX4' 'GARVA_I4M8Y1'
 'ACIC1_A0LV95' 'STANL_D3Q917' 'SEGRD_D6ZFI9' 'MICTS_E8NFI0'
 'ACTMD_C6WHU0' 'CATAD_C7QH05' 'JONDD_C7QYL3' 'NAKMY_C8XDC7'
 'ACIFD_C7LZD0' 'KOCRD_B2GFF7' 'HOYSD_F6EIS7' 'THEFY_Q47MN7'
 'SLAHD_C7N3A9' 'BEUC1_C5C106']","['MYCSD', 'LEIXX', 'OLSUV', 'THEBD', 'ARTGL', 'BIFA0', 'CELFN', 'CORP2', 'GLUAR', 'PAEAT', 'PSEPM', 'MYCMM', 'NOCFA', 'RHOJR', 'PSEAH', 'FRASN', 'XYLCX', 'MYCVN', 'MICEC', 'STRST', 'CONWI', 'PARDN', 'STRRD', 'NOCAA', 'STRHI', 'THECD', 'KIBAR', 'NOCSI', 'KITSK', 'SACES', 'STRJI', 'GARVA', 'ACIC1', 'STANL', 'SEGRD', 'MICTS', 'ACTMD', 'CATAD', 'JONDD', 'NAKMY', 'ACIFD', 'KOCRD', 'HOYSD', 'THEFY', 'SLAHD', 'BEUC1']","['1073531', '110932', '133925', '147067', '1663', '1678', '1707', '1716', '1742989', '1742992', '1742993', '1763', '1817', '1827', '1847', '1854', '186188', '1866885', '1873', '1883', '191494', '196082', '2000', '2013', '2016', '2019', '2029', '2044', '2063', '2071', '228398', '2701', '28048', '283810', '286801', '33882', '40566', '414878', '43673', '53460', '53634', '57493', '697025', '83677', '84108', '84756']"
2,"['ARTS2_A0JSM0' 'SALTO_A4X5D2' 'CORDI_Q6NG79' 'MYCUL_X8F794'
 'NOCAS_U5EHP3' 'KRIFD_D2PWM3' 'RHOSX_A0A0D8I4B1' 'SACEN_A4FNW2'
 'PSEAH_A0A1Y2MSR1' 'SACVD_C7MYY7' 'FRAAA_Q0RKI3' 'ACTTI_A0A561VI35'
 'MYCS2_A0R498' 'STRJU_A0A646KKL7' 'NOCAA_J7LFG9' 'THECD_D1ABA7'
 'SACSY_A0A5Q0HAN3' 'THEFY_Q47P53']","['ARTS2', 'SALTO', 'CORDI', 'MYCUL', 'NOCAS', 'KRIFD', 'RHOSX', 'SACEN', 'PSEAH', 'SACVD', 'FRAAA', 'ACTTI', 'MYCS2', 'STRJU', 'NOCAA', 'THECD', 'SACSY', 'THEFY']","['1663', '168694', '1716', '1763', '1817', '182639', '1827', '1835', '1847', '1851', '1854', '1865', '1866885', '1883', '2013', '2019', '2071', '83677']"
3,"['MYCSD_F5Z1I6' 'ARTS2_A0K1F5' 'BRELN_A0A0B9ASV9' 'CELFN_D5UDP3'
 'PAEAT_A1RAG8' 'MYCXE_I0S0V4' 'RHOSX_A0A0D8HQN0' 'NOCSJ_A1SCF6'
 'PSEAH_A0A1Y2MIY7' 'XYLCX_D1BUF4' 'ACTUT_A0A0A6UKR0' 'MYCVN_A0A5S9PCR0'
 'MICM1_F4FC30' 'STRCI_A0A4Y3QZX1' 'NOCAA_J7L7L1' 'NOCSI_A0A0A1DKJ4'
 'KITAU_A0A1E7NEU8' 'ISOV2_F6FVE2' 'RUBXD_Q1AYX8' 'BRAFD_C7MHD8'
 'NAKMY_C8XHY9' 'HOYSD_F6EGI9' 'THEFY_Q47TW6']","['MYCSD', 'ARTS2', 'BRELN', 'CELFN', 'PAEAT', 'MYCXE', 'RHOSX', 'NOCSJ', 'PSEAH', 'XYLCX', 'ACTUT', 'MYCVN', 'MICM1', 'STRCI', 'NOCAA', 'NOCSI', 'KITAU', 'ISOV2', 'RUBXD', 'BRAFD', 'NAKMY', 'HOYSD', 'THEFY']","['1073531', '1663', '1696', '1707', '1742992', '1763', '1827', '1839', '1847', '186188', '1865', '1866885', '1873', '1883', '2013', '2044', '2063', '254250', '42255', '43668', '53460', '697025', '83677']"
4,"['CLAMS_B0RF08' 'CELCE_A0A1X7C1S7' 'LENAE_A0A0F0GY28' 'ARTGO_H0QQ89'
 'CORGL_Q8NN80' 'GLUAR_E1W040' 'MYCSK_A1UDC3' 'AMYMS_G0FTV5'
 'NOCAS_U5EHU0' 'RHOJR_Q0SBF9' 'PSEAH_A0A1Y2MM46' 'FRASN_A8L4T8'
 'ACTS5_G8S2A2' 'MYCHD_K5BG97' 'MICS3_C4RNC1' 'STRCO_Q9RCU8'
 'CONWI_D3F6B0' 'NOCAA_J7LCF1' 'KIBAR_A0A1W2FB48' 'GORB4_D0L7R1'
 'TSUPD_D5UMS4' 'SACSY_A0A5Q0HB72' 'STANL_D3PUK6' 'MICTS_E8N781'
 'ACTMD_C6WMJ5' 'NAKMY_C8XD09' 'KOCRD_B2GIH8' 'SANKS_D1BDQ2']","['CLAMS', 'CELCE', 'LENAE', 'ARTGO', 'CORGL', 'GLUAR', 'MYCSK', 'AMYMS', 'NOCAS', 'RHOJR', 'PSEAH', 'FRASN', 'ACTS5', 'MYCHD', 'MICS3', 'STRCO', 'CONWI', 'NOCAA', 'KIBAR', 'GORB4', 'TSUPD', 'SACSY', 'STANL', 'MICTS', 'ACTMD', 'NAKMY', 'KOCRD', 'SANKS']","['1573', '157920', '165301', '1663', '1716', '1742989', '1763', '1813', '1817', '1827', '1847', '1854', '1865', '1866885', '1873', '1883', '191494', '2013', '2029', '2053', '2060', '2071', '283810', '33882', '40566', '53460', '57493', '60919']"
5,"['CELCE_A0A1X7CTX4' 'MYCXE_I0RLX0' 'RHOSX_A0A0D8HTG5' 'PSEAH_A0A1Y2N3R6'
 'GEOOG_D2SFU9' 'XYLCX_D1BRR5' 'ACTUT_A0A0A6USZ3' 'MYCVP_A1T7L7'
 'MICEC_A0A1C4ZKX6' 'STRCO_Q9X7X8' 'THECD_D1A7M7' 'GORPV_H6MVG9'
 'TSUPD_D5UR09' 'SEGRD_D6ZD08' 'BLASD_H6RUX7' 'ACTMD_C6WPQ3'
 'HOYSD_F6EMW4']","['CELCE', 'MYCXE', 'RHOSX', 'PSEAH', 'GEOOG', 'XYLCX', 'ACTUT', 'MYCVP', 'MICEC', 'STRCO', 'THECD', 'GORPV', 'TSUPD', 'SEGRD', 'BLASD', 'ACTMD', 'HOYSD']","['157920', '1763', '1827', '1847', '1860', '186188', '1865', '1866885', '1873', '1883', '2019', '2053', '2060', '286801', '38501', '40566', '697025']"
6,"['OLSUV_E1QZ87' 'CLAMS_B0RBF9' 'ARTS2_A0JYD4' 'BIFAA_A1A384'
 'PAEAT_A1R9F3' 'MYCUL_X8F0K2' 'AMYME_A0A076MVB7' 'RHOJR_Q0S4M0'
 'NOCSJ_A1SL19' 'PSETH_A0A1M6YUL5' 'FRASN_A8L020' 'ACTUT_A0A0A6X3G8'
 'MYCAG_A0A2A7NGL1' 'MICAI_D9T3D6' 'STRHJ_H2JPI2' 'NOCSI_A0A0C5WYI3'
 'GORPV_H6N1N0' 'TSUPD_D5UY95' 'CORGP_F2N846' 'CATAD_C7PWH1'
 'INTC7_E6SFN1' 'NAKMY_C8XKT5' 'SLAHD_C7N5T0']","['OLSUV', 'CLAMS', 'ARTS2', 'BIFAA', 'PAEAT', 'MYCUL', 'AMYME', 'RHOJR', 'NOCSJ', 'PSETH', 'FRASN', 'ACTUT', 'MYCAG', 'MICAI', 'STRHJ', 'NOCSI', 'GORPV', 'TSUPD', 'CORGP', 'CATAD', 'INTC7', 'NAKMY', 'SLAHD']","['133925', '1573', '1663', '1678', '1742992', '1763', '1813', '1827', '1839', '1847', '1854', '1865', '1866885', '1873', '1883', '2044', '2053', '2060', '33870', '414878', '53357', '53460', '84108']"
7,"['LEIAQ_U2RR59' 'OLSUV_E1QW93' 'CELFA_F4H102' 'RHOOP_A0A3G9MCN0'
 'SACEN_A4FI67' 'XYLCX_D1BT64' 'MICM1_F4F5X2' 'STRBB_D7C6A1'
 'SCAIO_W5IK56' 'SACSY_A0A5Q0H582' 'STRJI_A0A1H8A8R1' 'ISOV2_F6FW31'
 'MICPN_F5XIT2' 'CATAD_C7PWH5' 'INTC7_E6SFC0' 'SANKS_D1BGK0'
 'SLAES_D0WFS0']","['LEIAQ', 'OLSUV', 'CELFA', 'RHOOP', 'SACEN', 'XYLCX', 'MICM1', 'STRBB', 'SCAIO', 'SACSY', 'STRJI', 'ISOV2', 'MICPN', 'CATAD', 'INTC7', 'SANKS', 'SLAES']","['110932', '133925', '1707', '1827', '1835', '186188', '1873', '1883', '196081', '2071', '228398', '254250', '29404', '414878', '53357', '60919', '84108']"
8,"['MYCSD_F5YTD5' 'LEIXX_LGT' 'MICLC_C5CBK9' 'OLSUV_E1QZA9' 'THEBD_D6YA30'
 'CLAMS_B0RET9' 'CELCE_A0A1X7DS86' 'RENSM_A9WR52' 'ARTGO_H0QL54'
 'BIFBI_I3WI04' 'SALTO_A4X9M9' 'CORU7_B1VH81' 'GLUAR_E1VX10'
 'PROFC_D7GDU8' 'MYCCE_A0A1X1RWD9' 'AMYME_A0A076MWP0' 'NOCAS_U5E5M4'
 'KRIFD_D2Q309' 'RHOOP_A0A3G9MBY6' 'SACEN_A4FLK6' 'PSEAH_A0A1Y2MYU4'
 'SACVD_C7MVG0' 'FRASN_A8LGS1' 'GEOOG_D2SA04' 'XYLCX_D1BS40'
 'ACTM4_I0H1A1' 'MYCT3_G7CBV4' 'MICOL_A0A562I3J0' 'STRNV_V6JQQ9'
 'ACIA4_K7RT89' 'CUTAK_LGT' 'CONWI_D3F240' 'SCAIO_W5IJT6' 'PARDN_E6JYL8'
 'STRRD_D2B8A9' 'NOCDD_D7B2C1' 'STRHI_A0A1M5APK1' 'THECD_D1A711'
 'TROWT_LGT' 'NOCSI_A0A0C5XAR3' 'GORB4_D0L9Y8' 'TSUPD_D5URP0'
 'KITSK_E4N9I7' 'SACES_K0K1H8' 'STRJI_A0A1H7Y8G8' 'GARVA_I4M7V3'
 'ACIC1_A0LTT8' 'ARCHD_D7BNX6' 'SEGRD_D6Z984' 'MICPN_F5XJN9'
 'ROTMD_D2NSN6' 'CORGP_F2N757' 'MICTS_E8NFP0' 'KINRD_A6WC87'
 'ACTMD_C6WCC6' 'RUBXD_Q1AWX3' 'BRAFD_C7MCL6' 'JONDD_C7R417'
 'ACIFD_C7M0H2' 'KOCRD_B2GGV6' 'SANKS_D1BHS4' 'ILUCY_A0A6C7ECH0'
 'HOYSD_F6EH73' 'THEFY_Q47QR0' 'SLAHD_C7N6K0' 'EGGLE_C8WPJ5'
 'CRYCD_C7MKW0' 'BEUC1_C5BV82']","['MYCSD', 'LEIXX', 'MICLC', 'OLSUV', 'THEBD', 'CLAMS', 'CELCE', 'RENSM', 'ARTGO', 'BIFBI', 'SALTO', 'CORU7', 'GLUAR', 'PROFC', 'MYCCE', 'AMYME', 'NOCAS', 'KRIFD', 'RHOOP', 'SACEN', 'PSEAH', 'SACVD', 'FRASN', 'GEOOG', 'XYLCX', 'ACTM4', 'MYCT3', 'MICOL', 'STRNV', 'ACIA4', 'CUTAK', 'CONWI', 'SCAIO', 'PARDN', 'STRRD', 'NOCDD', 'STRHI', 'THECD', 'TROWT', 'NOCSI', 'GORB4', 'TSUPD', 'KITSK', 'SACES', 'STRJI', 'GARVA', 'ACIC1', 'ARCHD', 'SEGRD', 'MICPN', 'ROTMD', 'CORGP', 'MICTS', 'KINRD', 'ACTMD', 'RUBXD', 'BRAFD', 'JONDD', 'ACIFD', 'KOCRD', 'SANKS', 'ILUCY', 'HOYSD', 'THEFY', 'SLAHD', 'EGGLE', 'CRYCD', 'BEUC1']","['1073531', '110932', '1269', '133925', '147067', '1573', '157920', '1645', '1663', '1678', '168694', '1716', '1742989', '1743', '1763', '1813', '1817', '182639', '1827', '1835', '1847', '1851', '1854', '1860', '186188', '1865', '1866885', '1873', '1883', '1912215', '1912216', '191494', '196081', '196082', '2000', '2013', '2016', '2019', '2038', '2044', '2053', '2060', '2063', '2071', '228398', '2701', '28048', '28263', '286801', '29404', '32207', '33870', '33882', '33981', '40566', '42255', '43668', '43673', '53634', '57493', '60919', '682522', '697025', '83677', '84108', '84111', '84162', '84756']"
9,"['LENAE_A0A0F0GFL1' 'ARTGO_H0QIZ5' 'BRELN_A0A0B9AN56' 'CELFN_D5UGD4'
 'CORK4_C4LL37' 'PSEPM_F0M9F7' 'MYCAS_A0A1A3NBA6' 'NOCAS_U5E5X6'
 'RHOJR_Q0SA48' 'SACEN_A4F9A2' 'NOCSJ_A1SJ64' 'XYLCX_D1BSX7'
 'ACTUT_A0A0A6X419' 'MYCNE_V5X8U3' 'STRNE_A0A445NKP3' 'STRRD_D2BBH1'
 'NOCDD_D7B1C3' 'KIBAR_A0A1W2CUY0' 'NOCSI_A0A0A1DK71' 'KITAU_A0A1E7MXM3'
 'SACSY_A0A5Q0H7E9' 'STRJI_A0A1H7KLF1' 'ISOV2_F6FVE0' 'STANL_D3PUH0'
 'SEGRD_D6ZBA9' 'KINRD_A6W9M6' 'NAKMY_C8X923' 'HOYSD_F6EID5']","['LENAE', 'ARTGO', 'BRELN', 'CELFN', 'CORK4', 'PSEPM', 'MYCAS', 'NOCAS', 'RHOJR', 'SACEN', 'NOCSJ', 'XYLCX', 'ACTUT', 'MYCNE', 'STRNE', 'STRRD', 'NOCDD', 'KIBAR', 'NOCSI', 'KITAU', 'SACSY', 'STRJI', 'ISOV2', 'STANL', 'SEGRD', 'KINRD', 'NAKMY', 'HOYSD']","['165301', '1663', '1696', '1707', '1716', '1742993', '1763', '1817', '1827', '1835', '1839', '186188', '1865', '1866885', '1883', '2000', '2013', '2029', '2044', '2063', '2071', '228398', '254250', '283810', '286801', '33981', '53460', '697025']"
